município;quantidade
cerro corá;41
ceará-mirim;308
parnamirim;1048
são gonçalo do amarante;378
campo grande;13
parelhas;117
joão câmara;135
natal;4864
lagoa d'anta;38
extremoz;202
são josé de mipibu;207
passagem;30
jaçanã;57
cruzeta;42
caiçara do norte;19
mossoró;229
currais novos;143
serra de são bento;24
ielmo marinho;67
caicó;221
pureza;66
monte alegre;128
canguaretama;118
macau;175
touros;144
goianinha;92
macaíba;364
são joão do sabugi;31
joão dias;9
alto do rodrigues;24
lajes;35
baía formosa;47
serra caiada;52
serrinha;48
brejinho;66
pedro velho;65
jardim de piranhas;46
florânia;28
areia branca;32
nova cruz;127
tibau;17
passa e fica;71
rodolfo fernandes;6
ipanguaçu;47
jucurutu;77
carnaúba dos dantas;32
santa cruz;255
jandaíra;37
montanhas;57
poço branco;58
baraúna;38
santo antônio;133
antônio martins;6
açu;165
marcelino vieira;11
vera cruz;69
acari;54
taipu;68
upanema;16
governador dix-sept rosado;32
guamaré;96
sítio novo;39
pedra preta;22
são miguel de touros;70
são josé do campestre;46
caiçara do rio do vento;20
riacho da cruz;8
rio do fogo;42
doutor severiano;27
arez;87
serrinha dos pintos;7
lagoa nova;87
são tomé;37
pedro avelino;27
são miguel;59
umarizal;35
nísia floresta;134
são paulo do potengi;113
são pedro;32
venha-ver;13
santana do matos;43
coronel joão pessoa;13
bodó;14
caraúbas;58
lagoa de pedras;30
almino afonso;9
apodi;65
tangará;72
maxaranguape;79
jardim do seridó;47
tibau do sul;56
riachuelo;56
porto do mangue;7
equador;28
campo redondo;48
são fernando;22
pau dos ferros;68
vila flor;25
portalegre;8
angicos;39
bom jesus;44
ouro branco;13
barcelona;13
lagoa salgada;34
pedra grande;15
coronel ezequiel;27
catolé do rocha;1
riacho de santana;5
ruy barbosa;11
tenente laurentino cruz;29
paraú;2
olho-d'água do borges;3
serra do mel;14
patu;36
senador elói de souza;26
jardim de angicos;12
alexandria;22
itajá;18
paraná;4
santa maria;18
lajes pintadas;27
japi;26
são vicente;37
luís gomes;11
são josé do seridó;14
lucrécia;10
lagoa de velhos;9
carnaubais;11
serra negra do norte;18
são bento do trairi;11
monte das gameleiras;9
pendências;16
jundiá;16
timbaúba dos batistas;10
tenente ananias;17
bento fernandes;25
janduís;10
espírito santo;58
boa saúde;30
frutuoso gomes;11
são bento do norte;13
são francisco do oeste;6
são rafael;16
encanto;21
josé da penha;8
galinhos;11
martins;11
cajazeiras;1
conde;1
fernando pedroza;28
afonso bezerra;21
parazinho;17
grossos;6
várzea;21
santana do seridó;16
pilões;18
felipe guerra;13
senador georgino avelino;19
água nova;2
francisco dantas;2
santo antonio;1
acu;2
rafael godeiro;1
messias targino;13
caico;1
viçosa;2
taboleiro grande;6
ipueira;9
major sales;2
triunfo potiguar;3
tangara;2
rafael fernandes;3
mamanguape;1
araruna;2
são bento;3
japecanga;1
itaú;3
contagem;1
recife;1
pipa;1
severiano melo;3
cana brava;1
paulista;1
santa fé;1
santa rita;1
poço de pedra;1
belém do brejo do cruz;2
garanhuns;1
governador mangabeira;1
augusto severo;1
uiraúna;1
logradouro;1
